"#総ステージ数",,,,
8,,,,
"#ステージ","登場敵","カード数",,
0,"Chirno",3,1,
"#使用カードEASY","使用カードNOR","使用カードHARD","使用カードLUNA",
248,248,248,248,0
0,1,2,3,10
4,5,6,7,2
"#ステージ","登場敵","カード数",,
1,"Sanae",3,1,
248,248,248,248,0
0,1,2,3,10
4,5,6,7,2
"#ステージ","登場敵","カード数",,
2,"Marisa",5,3,
248,248,248,248,0
0,1,2,3,10
4,5,6,7,1
248,248,248,248,0
8,9,10,11,2
"#ステージ","登場敵","カード数",,
3,"Reimu",5,3,
248,248,248,248,0
0,1,2,3,10
4,5,6,7,1
248,248,248,248,0
8,9,10,11,2
"#ステージ","登場敵","カード数",,
4,"Utsuho",6,3,
248,248,248,248,0
0,1,2,3,10
4,5,6,7,1
248,248,248,248,0
8,9,10,11,1
12,13,14,15,2
"#ステージ","登場敵","カード数",,
5,"Meirin",3,1,
248,248,248,248,0
0,1,2,3,10
4,5,6,7,2
"#ステージ","登場敵","カード数",,
6,"Patchouli",3,1,
"#使用カードEASY","使用カードNOR","使用カードHARD","使用カードLUNA"
248,248,248,248,0
0,1,2,3,10
4,5,6,7,2
"#ステージ","登場敵","カード数",,
7,"Alice",6,3,
248,248,248,248,0
0,1,2,3,10
4,5,6,7,1
8,9,10,11,1
12,13,14,15,1
16,17,18,19,5
#
